31   //número de nós incluindo o deposito
 
5 //número de veículos
 
 
0.00 100.42 48.05 57.87 50.12 42.76 54.15 50.04 48.51 91.02 46.39 68.01 49.25 53.94 69.35 73.05 39.32 58.18 40.05 101.18 47.93 36.67 50.09 50.16 71.78 41.11 89.04 46.04 48.51 47.17 55.46 
100.42 0.00 85.16 83.02 99.46 84.76 77.67 76.66 82.01 17.12 70.23 73.03 79.81 64.29 65.01 96.01 83.01 97.49 76.16 2.24 94.64 86.01 77.62 70.88 95.02 74.85 22.20 74.00 82.01 79.40 98.06 
48.05 85.16 0.00 10.00 14.32 5.39 9.22 8.54 3.16 84.21 16.03 22.85 5.39 20.88 27.80 26.08 9.43 15.23 13.89 86.83 9.49 11.40 7.62 14.32 24.70 14.32 85.01 12.04 3.16 6.00 14.32 
57.87 83.02 10.00 0.00 19.10 15.13 6.71 10.63 9.49 84.10 19.42 14.21 9.43 20.40 20.81 18.44 18.68 14.56 20.81 84.85 15.81 21.21 9.90 15.65 17.03 20.62 85.48 16.28 9.49 11.66 15.65 
50.12 99.46 14.32 19.10 0.00 16.12 22.36 22.80 17.46 98.41 30.07 33.24 19.65 35.17 39.82 25.00 19.65 9.00 26.31 101.14 5.00 18.79 21.84 28.64 24.02 27.17 99.08 26.08 17.46 20.22 6.00 
42.76 84.76 5.39 15.13 16.12 0.00 12.65 10.00 6.08 82.73 14.56 26.93 7.62 21.10 30.89 31.38 4.24 19.42 10.20 86.33 11.18 6.08 9.43 14.42 30.02 11.05 83.22 10.77 6.08 6.40 17.89 
54.15 77.67 9.22 6.71 22.36 12.65 0.00 4.47 6.71 78.01 12.81 14.32 5.10 14.04 18.60 25.00 15.03 20.02 15.23 79.43 18.03 18.25 4.12 8.94 23.60 14.76 79.23 10.00 6.71 7.00 20.40 
50.04 76.66 8.54 10.63 22.80 10.00 4.47 0.00 5.39 76.06 8.94 18.03 3.16 12.37 21.02 29.07 11.40 22.20 10.77 78.34 18.03 14.87 1.00 6.00 27.66 10.30 77.03 5.66 5.39 3.61 22.00 
48.51 82.01 3.16 9.49 17.46 6.08 6.71 5.39 0.00 81.15 13.15 20.88 2.24 17.72 25.24 27.02 9.22 17.72 12.04 83.68 12.65 12.00 4.47 11.18 25.61 12.21 82.00 9.22 0.00 3.16 17.12 
91.02 17.12 84.21 84.10 98.41 82.73 78.01 76.06 81.15 0.00 68.36 76.49 79.10 64.00 68.88 99.30 80.23 98.00 73.16 16.00 93.43 82.76 77.06 70.06 98.15 72.01 5.10 72.34 81.15 78.23 98.05 
46.39 70.23 16.03 19.42 30.07 14.56 12.81 8.94 13.15 68.36 0.00 23.09 11.40 8.06 23.02 37.80 13.04 30.81 7.21 71.78 25.08 16.40 9.85 4.47 36.40 5.83 69.03 4.00 13.15 10.05 30.27 
68.01 73.03 22.85 14.21 33.24 26.93 14.32 18.03 20.88 76.49 23.09 0.00 19.42 18.60 8.06 23.02 29.27 27.46 28.16 75.01 30.00 32.56 18.11 18.68 22.00 27.29 78.59 22.20 20.88 21.21 29.21 
49.25 79.81 5.39 9.43 19.65 7.62 5.10 3.16 2.24 79.10 11.40 19.42 0.00 15.52 23.32 27.59 10.00 19.42 11.40 81.49 14.87 13.15 2.24 9.06 26.17 11.31 80.01 7.62 2.24 2.24 19.03 
53.94 64.29 20.88 20.40 35.17 21.10 14.04 12.37 17.72 64.00 8.06 18.60 15.52 0.00 16.28 37.58 20.52 34.00 15.26 65.97 30.36 24.04 13.34 6.71 36.25 13.89 65.19 10.63 17.72 15.23 34.13 
69.35 65.01 27.80 20.81 39.82 30.89 18.60 21.02 25.24 68.88 23.02 8.06 23.32 16.28 0.00 31.00 32.31 34.89 29.43 67.00 36.07 35.85 21.47 19.24 30.02 28.28 71.17 23.54 25.24 24.60 36.36 
73.05 96.01 26.08 18.44 25.00 31.38 25.00 29.07 27.02 99.30 37.80 23.02 27.59 37.58 31.00 0.00 35.51 16.00 38.95 98.00 25.50 37.12 28.32 33.84 1.41 38.90 101.20 34.71 27.02 29.73 19.00 
39.32 83.01 9.43 18.68 19.65 4.24 15.03 11.40 9.22 80.23 13.04 29.27 10.00 20.52 32.31 35.51 0.00 23.60 7.07 84.50 14.87 3.61 11.18 14.21 34.13 8.25 80.50 9.90 9.22 8.06 21.95 
58.18 97.49 15.23 14.56 9.00 19.42 20.02 22.20 17.72 98.00 30.81 27.46 19.42 34.00 34.89 16.00 23.60 0.00 29.07 99.30 10.30 24.04 21.21 28.16 15.03 29.55 99.13 26.93 17.72 20.88 3.00 
40.05 76.16 13.89 20.81 26.31 10.20 15.23 10.77 12.04 73.16 7.21 28.16 11.40 15.26 29.43 38.95 7.07 29.07 0.00 77.62 21.38 9.85 11.18 10.20 37.54 1.41 73.44 6.00 12.04 9.22 27.86 
101.18 2.24 86.83 84.85 101.14 86.33 79.43 78.34 83.68 16.00 71.78 75.01 81.49 65.97 67.00 98.00 84.50 99.30 77.62 0.00 96.30 87.46 79.31 72.53 97.01 76.32 21.02 75.58 83.68 81.04 99.82 
47.93 94.64 9.49 15.81 5.00 11.18 18.03 18.03 12.65 93.43 25.08 30.00 14.87 30.36 36.07 25.50 14.87 10.30 21.38 96.30 0.00 14.42 17.09 23.77 24.33 22.20 94.09 21.10 12.65 15.30 7.81 
