44 //número de nós incluindo o deposito
 
6 //número de veículos
 
0.00 89.20 41.68 45.79 15.81 50.00 60.84 57.45 57.07 40.01 5.10 31.40 74.73 96.94 57.28 27.78 45.34 20.52 73.82 13.45 41.44 56.36 32.65 41.18 38.48 32.57 32.28 45.62 40.31 46.10 62.43 15.81 30.02 31.62 6.00 87.32 38.63 61.98 50.61 29.15 79.88 39.82 40.02 92.01 
89.20 0.00 51.00 46.96 75.80 98.06 40.31 96.63 77.10 64.47 91.92 67.54 47.54 11.00 32.20 116.00 44.41 89.87 29.02 102.59 70.58 90.45 58.26 50.00 85.73 61.03 63.95 88.07 89.56 54.23 31.32 103.28 102.42 81.71 84.85 4.12 79.85 77.01 41.34 61.85 21.84 91.92 77.88 16.40 
41.68 51.00 0.00 4.24 26.40 51.16 19.65 52.63 37.74 39.82 45.62 16.76 36.01 57.01 19.65 69.46 9.22 50.36 46.27 54.92 46.52 47.43 22.47 21.93 37.01 27.86 13.00 41.30 41.01 35.38 21.21 57.25 51.48 31.58 39.00 50.16 52.20 40.61 25.50 12.53 38.42 61.81 30.15 50.93 
45.79 46.96 4.24 0.00 30.61 54.01 16.12 54.92 38.91 41.23 49.65 20.62 33.24 52.80 16.12 73.57 7.81 53.76 43.74 59.08 48.10 49.48 24.52 22.47 40.20 29.83 17.00 44.05 44.18 35.81 16.97 61.29 55.46 35.17 42.95 46.24 54.34 41.34 24.41 16.64 34.21 64.38 33.00 46.69 
15.81 75.80 26.40 30.61 0.00 43.01 45.18 48.80 44.01 37.70 20.40 16.00 58.94 82.81 43.60 43.38 31.40 30.68 64.03 28.65 41.68 46.23 24.00 31.40 29.00 26.48 16.49 36.07 32.02 40.31 47.51 31.62 31.00 21.21 15.03 74.33 42.45 48.70 40.26 14.14 64.82 47.71 27.78 77.23 
50.00 98.06 51.16 54.01 43.01 0.00 57.97 9.00 24.84 80.13 54.64 36.14 59.36 100.88 70.01 65.97 60.30 70.29 97.42 54.23 84.60 12.53 64.08 68.96 14.87 67.98 40.02 10.05 11.18 80.78 66.91 60.42 25.32 22.36 53.81 98.31 85.28 28.32 75.50 47.43 79.38 89.14 21.02 92.11 
60.84 40.31 19.65 16.12 45.18 57.97 0.00 56.32 37.01 55.79 65.00 31.89 18.03 43.08 19.80 88.55 21.38 69.87 47.51 73.82 62.82 50.16 40.11 36.40 46.52 45.28 29.41 48.08 50.16 48.85 10.77 76.56 65.60 43.83 58.52 41.01 69.72 37.48 34.99 31.95 21.95 80.16 38.48 34.99 
57.45 96.63 52.63 54.92 48.80 9.00 56.32 0.00 20.25 84.88 62.27 39.36 55.04 98.49 70.46 74.73 61.85 77.42 98.66 62.63 89.81 6.32 68.10 72.09 19.80 72.40 42.95 12.81 17.20 84.53 66.03 68.71 34.23 27.59 60.80 97.25 91.24 22.47 77.79 51.00 76.90 95.90 23.26 89.29 
57.07 77.10 37.74 38.91 44.01 24.84 37.01 20.25 0.00 75.01 62.17 29.68 34.89 78.45 53.16 80.06 46.53 74.67 81.91 66.03 80.92 13.93 57.28 59.20 21.59 62.29 32.02 17.49 22.85 72.47 47.27 71.25 43.66 26.02 58.52 78.00 84.31 5.00 63.13 40.46 56.89 91.24 17.12 69.12 
40.01 64.47 39.82 41.23 37.70 80.13 55.79 84.88 75.01 0.00 39.46 46.10 73.76 74.67 40.00 59.51 34.48 29.15 40.36 50.22 7.07 81.22 17.80 19.42 65.51 12.73 43.14 72.11 68.96 10.30 50.16 47.76 67.47 57.80 34.01 61.27 15.52 78.75 24.33 34.66 65.19 27.51 62.01 73.76 
